province,CFR
TPHoChiMinh,0.038640452
TienGiang,0.033581345
AnGiang,0.033352273
LongAn,0.025501043
KienGiang,0.021917469
CanTho,0.018076827
DongThap,0.017615582
AVG,0.017312907
DongNai,0.016243236
SocTrang,0.015226995
BinhThuan,0.012319966
BinhDuong,0.011641005
VinhLong,0.011306142
BaRiaVungTau,0.010732555
BacLieu,0.009660139
TayNinh,0.009395726
BenTre,0.009118722
HauGiang,0.008669534
NinhThuan,0.008483727
PhuYen,0.006899622
DaNang,0.005643773
DakLak,0.005425079
ThuaThienHue,0.005365159
CaMau,0.004734172
KhanhHoa,0.004231288
BinhDinh,0.003538338
NgheAn,0.003527505
QuangNgai,0.003458498
LamDong,0.003253878
GiaLai,0.003106968
BinhPhuoc,0.003057294
HaNoi,0.002951944
DakNong,0.002822069
LangSon,0.002810963
HaTinh,0.002751032
QuangNam,0.002323232
HoaBinh,0.001794124
QuangTri,0.001733603
CaoBang,0.001640689
PhuTho,0.001637331
QuangBinh,0.001635323
HaGiang,0.001601507
BacGiang,0.001538183
BacNinh,0.001349528
BacKan,0.001333333
VinhPhuc,0.001238965
ThanhHoa,0.000963463
HaiPhong,0.000847344
NinhBinh,0.000820681
NamDinh,0.000798977
QuangNinh,0.000574317
ThaiNguyen,0.00041876
HaGiang,0.000391492
TraVinh,0.000333148
HungYen,0.000172161
LaiChau,0
LaoCai,0
TuyenQuang,0
YenBai,0
SonLa,0
HaNam,0
ThaiBinh,0
KonTum,0
DienBien,0
