date,case_by_day,death_by_day
1/8/2021,2179,0
2/8/2021,949,25
3/8/2021,1606,0
4/8/2021,2143,0
5/8/2021,822,112
6/8/2021,1169,1
7/8/2021,882,0
8/8/2021,3210,31
9/8/2021,2887,0
10/8/2021,1325,44
11/8/2021,1897,22
12/8/2021,3028,42
13/8/2021,2816,25
14/8/2021,2029,32
15/8/2021,2358,20
16/8/2021,2522,29
17/8/2021,3332,12
18/8/2021,2513,20
19/8/2021,3255,45
20/8/2021,4223,41
21/8/2021,6623,0
22/8/2021,3806,62
23/8/2021,3183,34
24/8/2021,3628,35
25/8/2021,4129,31
26/8/2021,4868,46
27/8/2021,8695,34
28/8/2021,4049,38
29/8/2021,5414,31
30/8/2021,6050,39
31/8/2021,4530,0
1/9/2021,3440,78
2/9/2021,4504,34
3/9/2021,3676,44
4/9/2021,2575,45
5/9/2021,3540,38
6/9/2021,2149,39
7/9/2021,3966,40
8/9/2021,3172,68
9/9/2021,4531,40
10/9/2021,3536,55
11/9/2021,3981,1
12/9/2021,3188,39
13/9/2021,3651,32
14/9/2021,2178,41
15/9/2021,3228,7
16/9/2021,2998,46
17/9/2021,4013,28
18/9/2021,2877,39
19/9/2021,2332,31
20/9/2021,1410,36
21/9/2021,3609,41
22/9/2021,4179,37
23/9/2021,2764,37
24/9/2021,2849,30
25/9/2021,3629,34
26/9/2021,3332,26
27/9/2021,3793,35
28/9/2021,2575,15
29/9/2021,2389,33
30/9/2021,2103,30
1/10/2021,1787,63
2/10/2021,1517,24
3/10/2021,1283,20
4/10/2021,1210,20
5/10/2021,1107,15
6/10/2021,852,16
7/10/2021,840,19
8/10/2021,828,17
9/10/2021,820,18
10/10/2021,782,12
11/10/2021,446,18
12/10/2021,492,13
13/10/2021,501,18
14/10/2021,483,10
15/10/2021,533,18
16/10/2021,385,11
17/10/2021,537,13
18/10/2021,439,14
19/10/2021,500,11
20/10/2021,492,8
21/10/2021,483,12
22/10/2021,471,7
23/10/2021,517,12
24/10/2021,524,12
25/10/2021,517,11
26/10/2021,528,14
27/10/2021,521,8
28/10/2021,618,5
29/10/2021,697,6
30/10/2021,665,13
31/10/2021,672,7
1/11/2021,682,11
2/11/2021,780,19
3/11/2021,773,13
4/11/2021,948,13
5/11/2021,917,6
6/11/2021,921,5
7/11/2021,826,5
8/11/2021,823,8
9/11/2021,619,11
10/11/2021,555,9
11/11/2021,615,6
12/11/2021,654,5
13/11/2021,631,8
14/11/2021,623,5
15/11/2021,616,9
16/11/2021,607,7
17/11/2021,601,12
18/11/2021,686,14
19/11/2021,661,5
20/11/2021,669,0
21/11/2021,683,15
22/11/2021,688,7
23/11/2021,698,12
24/11/2021,696,15
25/11/2021,678,14
26/11/2021,707,2
27/11/2021,716,12
28/11/2021,705,13
29/11/2021,697,22
30/11/2021,626,26
1/12/2021,642,19
2/12/2021,414,9
3/12/2021,302,15
4/12/2021,319,18
5/12/2021,355,9
6/12/2021,226,0
7/12/2021,645,39
8/12/2021,455,17
9/12/2021,489,17
10/12/2021,381,15
11/12/2021,418,14
12/12/2021,375,24
13/12/2021,304,17
14/12/2021,352,18
15/12/2021,371,26
16/12/2021,275,14
17/12/2021,209,25
18/12/2021,167,15
19/12/2021,245,20
20/12/2021,155,16
21/12/2021,134,15
22/12/2021,149,18
23/12/2021,118,19
24/12/2021,94,11
25/12/2021,108,18
26/12/2021,230,9
27/12/2021,77,33
28/12/2021,109,9
29/12/2021,119,15
30/12/2021,96,20
31/12/2021,107,13
1/1/2022,105,8
2/1/2022,145,7
3/1/2022,75,11
4/1/2022,65,7
5/1/2022,66,15
6/1/2022,91,8
7/1/2022,52,12
8/1/2022,59,7
9/1/2022,117,9
10/1/2022,55,7
11/1/2022,25,8
12/1/2022,34,6
13/1/2022,24,11
14/1/2022,113,9
15/1/2022,106,2
16/1/2022,61,3
17/1/2022,59,3
18/1/2022,37,9
