date,case_by_day,death_by_day
1/8/2021,1,0
2/8/2021,0,0
3/8/2021,2,0
4/8/2021,0,0
5/8/2021,2,0
6/8/2021,0,0
7/8/2021,0,0
8/8/2021,0,0
9/8/2021,1,0
10/8/2021,2,0
11/8/2021,0,0
12/8/2021,0,0
13/8/2021,0,0
14/8/2021,0,0
15/8/2021,1,0
16/8/2021,0,0
17/8/2021,0,0
18/8/2021,0,1
19/8/2021,7,0
20/8/2021,18,0
21/8/2021,2,0
22/8/2021,6,0
23/8/2021,9,0
24/8/2021,3,0
25/8/2021,0,0
26/8/2021,3,0
27/8/2021,2,0
28/8/2021,1,0
29/8/2021,0,0
30/8/2021,0,0
31/8/2021,0,0
1/9/2021,0,0
2/9/2021,3,0
3/9/2021,1,0
4/9/2021,0,0
5/9/2021,1,0
6/9/2021,0,0
7/9/2021,1,0
8/9/2021,0,0
9/9/2021,1,0
10/9/2021,0,0
11/9/2021,0,0
12/9/2021,0,0
13/9/2021,0,0
14/9/2021,0,0
15/9/2021,0,0
16/9/2021,0,0
17/9/2021,0,0
18/9/2021,0,0
19/9/2021,0,0
20/9/2021,0,0
21/9/2021,0,0
22/9/2021,0,0
23/9/2021,0,0
24/9/2021,0,0
25/9/2021,0,0
26/9/2021,0,0
27/9/2021,4,0
28/9/2021,1,0
29/9/2021,0,0
30/9/2021,0,0
1/10/2021,2,0
2/10/2021,6,0
3/10/2021,1,0
4/10/2021,1,0
5/10/2021,2,0
6/10/2021,0,0
7/10/2021,1,0
8/10/2021,0,0
9/10/2021,0,0
10/10/2021,0,0
11/10/2021,1,0
12/10/2021,1,0
13/10/2021,0,0
14/10/2021,0,0
15/10/2021,1,0
16/10/2021,0,0
17/10/2021,0,0
18/10/2021,0,0
19/10/2021,0,0
20/10/2021,0,0
21/10/2021,2,0
22/10/2021,3,0
23/10/2021,2,0
24/10/2021,3,0
25/10/2021,1,0
26/10/2021,2,0
27/10/2021,14,0
28/10/2021,3,0
29/10/2021,12,0
30/10/2021,5,0
31/10/2021,20,0
1/11/2021,9,0
2/11/2021,17,0
3/11/2021,32,0
4/11/2021,68,0
5/11/2021,43,0
6/11/2021,44,0
7/11/2021,70,0
8/11/2021,56,0
9/11/2021,31,0
10/11/2021,36,0
11/11/2021,26,0
12/11/2021,42,0
13/11/2021,38,0
14/11/2021,41,0
15/11/2021,38,0
16/11/2021,60,0
17/11/2021,79,0
18/11/2021,49,0
19/11/2021,22,0
20/11/2021,44,0
21/11/2021,68,0
22/11/2021,16,1
23/11/2021,24,0
24/11/2021,20,0
25/11/2021,20,0
26/11/2021,16,0
27/11/2021,9,0
28/11/2021,11,0
29/11/2021,11,0
30/11/2021,7,0
1/12/2021,11,0
2/12/2021,19,0
3/12/2021,26,0
4/12/2021,20,0
5/12/2021,12,0
6/12/2021,12,0
7/12/2021,19,0
8/12/2021,25,0
9/12/2021,20,0
10/12/2021,11,0
11/12/2021,10,0
12/12/2021,9,0
13/12/2021,17,0
14/12/2021,11,0
15/12/2021,16,0
16/12/2021,19,0
17/12/2021,25,0
18/12/2021,23,0
19/12/2021,41,0
20/12/2021,21,0
21/12/2021,26,0
22/12/2021,30,0
23/12/2021,34,0
24/12/2021,31,0
25/12/2021,61,0
26/12/2021,40,0
27/12/2021,40,0
28/12/2021,43,0
29/12/2021,81,0
30/12/2021,46,0
31/12/2021,85,0
1/1/2022,69,0
2/1/2022,90,0
3/1/2022,84,0
4/1/2022,202,0
5/1/2022,187,0
6/1/2022,213,0
7/1/2022,162,0
8/1/2022,182,0
9/1/2022,126,0
10/1/2022,128,0
11/1/2022,155,0
12/1/2022,163,2
13/1/2022,199,0
14/1/2022,221,0
15/1/2022,255,1
16/1/2022,235,0
17/1/2022,259,0
18/1/2022,223,0
