date,case_by_day,death_by_day
1/8/2021,184,0
2/8/2021,132,0
3/8/2021,81,0
4/8/2021,0,0
5/8/2021,112,1
6/8/2021,0,0
7/8/2021,288,0
8/8/2021,0,0
9/8/2021,242,0
10/8/2021,109,0
11/8/2021,181,1
12/8/2021,0,19
13/8/2021,69,0
14/8/2021,79,0
15/8/2021,16,3
16/8/2021,0,0
17/8/2021,80,0
18/8/2021,0,0
19/8/2021,0,0
20/8/2021,57,1
21/8/2021,57,0
22/8/2021,107,1
23/8/2021,155,1
24/8/2021,64,2
25/8/2021,75,0
26/8/2021,44,0
27/8/2021,59,0
28/8/2021,35,0
29/8/2021,57,0
30/8/2021,33,0
31/8/2021,65,0
1/9/2021,29,1
2/9/2021,57,1
3/9/2021,39,0
4/9/2021,39,0
5/9/2021,51,1
6/9/2021,64,0
7/9/2021,31,2
8/9/2021,42,0
9/9/2021,16,0
10/9/2021,11,1
11/9/2021,32,0
12/9/2021,46,0
13/9/2021,16,1
14/9/2021,14,1
15/9/2021,18,1
16/9/2021,29,0
17/9/2021,12,1
18/9/2021,10,0
19/9/2021,84,0
20/9/2021,7,2
21/9/2021,13,0
22/9/2021,8,1
23/9/2021,3,3
24/9/2021,13,0
25/9/2021,4,0
26/9/2021,5,1
27/9/2021,4,0
28/9/2021,3,0
29/9/2021,2,1
30/9/2021,6,0
1/10/2021,13,2
2/10/2021,3,0
3/10/2021,13,0
4/10/2021,25,0
5/10/2021,47,1
6/10/2021,17,0
7/10/2021,19,0
8/10/2021,19,0
9/10/2021,14,0
10/10/2021,6,1
11/10/2021,16,0
12/10/2021,7,0
13/10/2021,18,0
14/10/2021,11,0
15/10/2021,12,0
16/10/2021,11,0
17/10/2021,10,0
18/10/2021,8,0
19/10/2021,5,0
20/10/2021,13,0
21/10/2021,18,0
22/10/2021,12,0
23/10/2021,38,0
24/10/2021,16,0
25/10/2021,27,0
26/10/2021,33,0
27/10/2021,17,0
28/10/2021,19,0
29/10/2021,0,1
30/10/2021,25,0
31/10/2021,64,0
1/11/2021,109,0
2/11/2021,67,0
3/11/2021,82,1
4/11/2021,98,0
5/11/2021,74,0
6/11/2021,96,0
7/11/2021,150,0
8/11/2021,149,0
9/11/2021,154,1
10/11/2021,191,0
11/11/2021,185,0
12/11/2021,177,1
13/11/2021,224,0
14/11/2021,204,0
15/11/2021,178,2
16/11/2021,300,0
17/11/2021,428,1
18/11/2021,423,1
19/11/2021,444,0
20/11/2021,370,0
21/11/2021,541,0
22/11/2021,399,0
23/11/2021,709,2
24/11/2021,586,0
25/11/2021,658,1
26/11/2021,653,1
27/11/2021,697,0
28/11/2021,531,0
29/11/2021,648,0
30/11/2021,860,0
1/12/2021,756,0
2/12/2021,637,1
3/12/2021,560,0
4/12/2021,620,2
5/12/2021,710,3
6/12/2021,569,3
7/12/2021,491,0
8/12/2021,539,2
9/12/2021,576,3
10/12/2021,381,0
11/12/2021,498,1
12/12/2021,381,5
13/12/2021,371,0
14/12/2021,258,3
15/12/2021,238,2
16/12/2021,260,2
17/12/2021,258,3
18/12/2021,270,4
19/12/2021,221,5
20/12/2021,273,2
21/12/2021,378,7
22/12/2021,297,6
23/12/2021,344,10
24/12/2021,359,4
25/12/2021,297,4
26/12/2021,155,2
27/12/2021,162,11
28/12/2021,0,0
29/12/2021,52,11
30/12/2021,180,11
31/12/2021,152,5
1/1/2022,104,16
2/1/2022,72,6
3/1/2022,73,9
4/1/2022,42,4
5/1/2022,81,10
6/1/2022,152,13
7/1/2022,263,7
8/1/2022,193,5
9/1/2022,285,8
10/1/2022,133,9
11/1/2022,294,11
12/1/2022,400,5
13/1/2022,329,8
14/1/2022,185,7
15/1/2022,95,13
16/1/2022,245,0
17/1/2022,188,15
18/1/2022,226,0
