date,case_by_day,death_by_day
1/8/2021,100,0
2/8/2021,221,0
3/8/2021,120,3
4/8/2021,150,1
5/8/2021,52,1
6/8/2021,94,5
7/8/2021,141,0
8/8/2021,71,1
9/8/2021,98,2
10/8/2021,106,4
11/8/2021,103,24
12/8/2021,128,0
13/8/2021,142,1
14/8/2021,164,2
15/8/2021,170,1
16/8/2021,86,0
17/8/2021,172,4
18/8/2021,91,2
19/8/2021,134,3
20/8/2021,147,2
21/8/2021,100,0
22/8/2021,97,4
23/8/2021,85,1
24/8/2021,72,0
25/8/2021,90,0
26/8/2021,72,0
27/8/2021,72,0
28/8/2021,37,0
29/8/2021,37,0
30/8/2021,36,0
31/8/2021,53,0
1/9/2021,42,0
2/9/2021,42,0
3/9/2021,10,0
4/9/2021,76,4
5/9/2021,100,4
6/9/2021,81,2
7/9/2021,74,0
8/9/2021,83,0
9/9/2021,53,1
10/9/2021,37,1
11/9/2021,46,1
12/9/2021,68,0
13/9/2021,68,3
14/9/2021,40,1
15/9/2021,53,0
16/9/2021,60,0
17/9/2021,50,1
18/9/2021,43,0
19/9/2021,52,0
20/9/2021,48,0
21/9/2021,43,0
22/9/2021,48,2
23/9/2021,53,0
24/9/2021,57,3
25/9/2021,48,1
26/9/2021,52,0
27/9/2021,56,3
28/9/2021,52,1
29/9/2021,42,0
30/9/2021,41,1
1/10/2021,30,7
2/10/2021,23,1
3/10/2021,33,1
4/10/2021,27,0
5/10/2021,47,3
6/10/2021,44,1
7/10/2021,30,2
8/10/2021,48,1
9/10/2021,18,0
10/10/2021,41,0
11/10/2021,47,1
12/10/2021,28,0
13/10/2021,17,1
14/10/2021,20,0
15/10/2021,43,0
16/10/2021,42,2
17/10/2021,29,0
18/10/2021,27,0
19/10/2021,24,0
20/10/2021,44,0
21/10/2021,23,0
22/10/2021,17,0
23/10/2021,43,1
24/10/2021,48,0
25/10/2021,26,0
26/10/2021,57,1
27/10/2021,98,0
28/10/2021,138,1
29/10/2021,101,0
30/10/2021,95,1
31/10/2021,130,5
1/11/2021,149,2
2/11/2021,146,2
3/11/2021,152,4
4/11/2021,186,2
5/11/2021,199,0
6/11/2021,201,1
7/11/2021,210,1
8/11/2021,178,1
9/11/2021,163,3
10/11/2021,139,1
11/11/2021,55,2
12/11/2021,178,1
13/11/2021,81,4
14/11/2021,146,2
15/11/2021,125,4
16/11/2021,158,0
17/11/2021,145,3
18/11/2021,130,2
19/11/2021,247,2
20/11/2021,201,4
21/11/2021,341,6
22/11/2021,535,6
23/11/2021,354,7
24/11/2021,766,3
25/11/2021,741,8
26/11/2021,897,3
27/11/2021,954,5
28/11/2021,966,9
29/11/2021,913,10
30/11/2021,981,18
1/12/2021,989,6
2/12/2021,985,16
3/12/2021,982,13
4/12/2021,998,15
5/12/2021,1132,7
6/12/2021,1189,19
7/12/2021,898,7
8/12/2021,676,10
9/12/2021,670,10
10/12/2021,675,11
11/12/2021,689,13
12/12/2021,669,7
13/12/2021,680,13
14/12/2021,692,0
15/12/2021,720,23
16/12/2021,728,12
17/12/2021,715,15
18/12/2021,749,12
19/12/2021,793,12
20/12/2021,773,8
21/12/2021,797,12
22/12/2021,757,11
23/12/2021,792,13
24/12/2021,785,13
25/12/2021,702,12
26/12/2021,715,6
27/12/2021,711,11
28/12/2021,763,12
29/12/2021,137,13
30/12/2021,287,16
31/12/2021,293,15
1/1/2022,276,15
2/1/2022,293,16
3/1/2022,140,13
4/1/2022,196,11
5/1/2022,282,9
6/1/2022,163,9
7/1/2022,213,11
8/1/2022,208,8
9/1/2022,152,11
10/1/2022,132,11
11/1/2022,169,11
12/1/2022,161,7
13/1/2022,130,10
14/1/2022,139,11
15/1/2022,93,12
16/1/2022,73,9
17/1/2022,114,10
18/1/2022,77,9
