date,case_by_day,death_by_day
1/8/2021,15,0
2/8/2021,0,0
3/8/2021,29,0
4/8/2021,15,0
5/8/2021,9,0
6/8/2021,17,0
7/8/2021,0,0
8/8/2021,41,1
9/8/2021,3,0
10/8/2021,55,0
11/8/2021,0,0
12/8/2021,30,0
13/8/2021,7,0
14/8/2021,26,0
15/8/2021,0,0
16/8/2021,11,1
17/8/2021,24,0
18/8/2021,5,0
19/8/2021,0,0
20/8/2021,56,0
21/8/2021,32,0
22/8/2021,0,0
23/8/2021,128,0
24/8/2021,21,0
25/8/2021,40,0
26/8/2021,10,0
27/8/2021,63,0
28/8/2021,60,0
29/8/2021,52,0
30/8/2021,24,0
31/8/2021,17,0
1/9/2021,20,0
2/9/2021,34,1
3/9/2021,0,2
4/9/2021,73,2
5/9/2021,0,0
6/9/2021,166,0
7/9/2021,0,0
8/9/2021,0,0
9/9/2021,61,0
10/9/2021,0,0
11/9/2021,18,0
12/9/2021,12,0
13/9/2021,28,0
14/9/2021,10,0
15/9/2021,0,0
16/9/2021,26,0
17/9/2021,0,0
18/9/2021,91,0
19/9/2021,0,0
20/9/2021,113,0
21/9/2021,10,0
22/9/2021,0,0
23/9/2021,25,0
24/9/2021,33,0
25/9/2021,9,0
26/9/2021,49,0
27/9/2021,0,0
28/9/2021,14,0
29/9/2021,15,0
30/9/2021,64,0
1/10/2021,0,8
2/10/2021,59,0
3/10/2021,17,0
4/10/2021,0,0
5/10/2021,8,0
6/10/2021,58,0
7/10/2021,36,0
8/10/2021,0,0
9/10/2021,85,0
10/10/2021,0,1
11/10/2021,119,0
12/10/2021,0,0
13/10/2021,113,0
14/10/2021,44,1
15/10/2021,0,1
16/10/2021,84,0
17/10/2021,22,2
18/10/2021,46,0
19/10/2021,0,0
20/10/2021,77,2
21/10/2021,0,0
22/10/2021,266,0
23/10/2021,0,0
24/10/2021,193,0
25/10/2021,33,0
26/10/2021,162,0
27/10/2021,254,0
28/10/2021,80,1
29/10/2021,90,0
30/10/2021,146,0
31/10/2021,157,1
1/11/2021,164,0
2/11/2021,80,1
3/11/2021,98,0
4/11/2021,210,1
5/11/2021,135,1
6/11/2021,73,0
7/11/2021,151,0
8/11/2021,133,1
9/11/2021,197,0
10/11/2021,181,2
11/11/2021,162,1
12/11/2021,0,3
13/11/2021,126,0
14/11/2021,228,1
15/11/2021,0,1
16/11/2021,88,0
17/11/2021,188,0
18/11/2021,118,0
19/11/2021,0,0
20/11/2021,205,0
21/11/2021,0,0
22/11/2021,166,0
23/11/2021,75,0
24/11/2021,152,1
25/11/2021,93,1
26/11/2021,181,2
27/11/2021,0,1
28/11/2021,75,1
29/11/2021,0,0
30/11/2021,140,0
1/12/2021,342,0
2/12/2021,58,0
3/12/2021,171,0
4/12/2021,42,1
5/12/2021,0,0
6/12/2021,0,0
7/12/2021,131,1
8/12/2021,0,1
9/12/2021,317,4
10/12/2021,0,0
11/12/2021,0,0
12/12/2021,315,1
13/12/2021,0,4
14/12/2021,178,0
15/12/2021,51,0
16/12/2021,152,0
17/12/2021,83,2
18/12/2021,0,0
19/12/2021,239,0
20/12/2021,0,0
21/12/2021,139,3
22/12/2021,297,1
23/12/2021,91,0
24/12/2021,263,0
25/12/2021,0,2
26/12/2021,270,0
27/12/2021,134,1
28/12/2021,60,0
29/12/2021,213,2
30/12/2021,69,1
31/12/2021,78,0
1/1/2022,40,0
2/1/2022,185,1
3/1/2022,0,0
4/1/2022,367,0
5/1/2022,273,1
6/1/2022,0,0
7/1/2022,0,0
8/1/2022,481,1
9/1/2022,0,2
10/1/2022,0,0
11/1/2022,381,0
12/1/2022,1,3
13/1/2022,417,1
14/1/2022,176,1
15/1/2022,215,1
16/1/2022,0,0
17/1/2022,413,2
18/1/2022,181,0
