date,case_by_day,death_by_day
1/8/2021,4069,0
2/8/2021,4264,354
3/8/2021,4171,331
4/8/2021,3300,217
5/8/2021,3886,214
6/8/2021,4060,219
7/8/2021,3930,0
8/8/2021,3898,420
9/8/2021,3993,269
10/8/2021,3957,308
11/8/2021,3416,261
12/8/2021,3850,225
13/8/2021,3532,223
14/8/2021,4231,285
15/8/2021,4516,282
16/8/2021,3341,315
17/8/2021,3565,285
18/8/2021,3733,255
19/8/2021,4425,307
20/8/2021,3377,312
21/8/2021,4105,0
22/8/2021,4413,599
23/8/2021,4251,340
24/8/2021,4634,292
25/8/2021,5295,266
26/8/2021,3934,242
27/8/2021,5384,287
28/8/2021,5481,271
29/8/2021,4959,256
30/8/2021,5889,245
31/8/2021,5447,0
1/9/2021,5368,658
2/9/2021,5964,197
3/9/2021,8510,250
4/9/2021,4598,256
5/9/2021,6226,222
6/9/2021,7122,233
7/9/2021,7310,253
8/9/2021,7308,268
9/9/2021,5549,203
10/9/2021,7539,195
11/9/2021,5629,188
12/9/2021,6158,200
13/9/2021,5446,228
14/9/2021,6312,199
15/9/2021,5301,189
16/9/2021,5735,160
17/9/2021,5972,166
18/9/2021,4237,165
19/9/2021,5496,182
20/9/2021,5171,163
21/9/2021,6521,184
22/9/2021,5435,181
23/9/2021,5052,175
24/9/2021,3786,140
25/9/2021,4046,124
26/9/2021,5121,131
27/9/2021,4134,122
28/9/2021,377,131
29/9/2021,4699,113
30/9/2021,4372,106
1/10/2021,3670,95
2/10/2021,2723,123
3/10/2021,2461,79
4/10/2021,2490,93
5/10/2021,1491,104
6/10/2021,1960,88
7/10/2021,1730,92
8/10/2021,2215,78
9/10/2021,1662,74
10/10/2021,1067,82
11/10/2021,1527,75
12/10/2021,1018,64
13/10/2021,1162,73
14/10/2021,909,61
15/10/2021,1131,61
16/10/2021,790,58
17/10/2021,1059,38
18/10/2021,968,51
19/10/2021,907,47
20/10/2021,1347,43
21/10/2021,1255,41
22/10/2021,1205,33
23/10/2021,749,42
24/10/2021,966,30
25/10/2021,969,40
26/10/2021,783,27
27/10/2021,1140,32
28/10/2021,1069,25
29/10/2021,977,32
30/10/2021,1042,30
31/10/2021,1041,21
1/11/2021,927,25
2/11/2021,682,31
3/11/2021,985,40
4/11/2021,981,28
5/11/2021,912,33
6/11/2021,986,32
7/11/2021,1009,31
8/11/2021,1316,35
9/11/2021,1276,38
10/11/2021,1414,43
11/11/2021,1185,38
12/11/2021,1388,42
13/11/2021,1240,38
14/11/2021,985,22
15/11/2021,1165,45
16/11/2021,1183,35
17/11/2021,1337,26
18/11/2021,1609,42
19/11/2021,1339,55
20/11/2021,1046,42
21/11/2021,1265,0
22/11/2021,1547,109
23/11/2021,1204,62
24/11/2021,1666,62
25/11/2021,1582,50
26/11/2021,1809,51
27/11/2021,1773,57
28/11/2021,1454,62
29/11/2021,1554,51
30/11/2021,1497,59
1/12/2021,1675,61
2/12/2021,1738,71
3/12/2021,1311,61
4/12/2021,1636,64
5/12/2021,1491,65
6/12/2021,1174,86
7/12/2021,965,53
8/12/2021,1475,66
9/12/2021,1453,64
10/12/2021,1226,61
11/12/2021,1441,60
12/12/2021,1216,69
13/12/2021,915,65
14/12/2021,991,59
15/12/2021,1270,63
16/12/2021,1175,58
17/12/2021,1040,49
18/12/2021,1019,0
19/12/2021,1014,52
20/12/2021,687,50
21/12/2021,813,46
22/12/2021,979,39
23/12/2021,787,34
24/12/2021,679,35
25/12/2021,885,35
26/12/2021,544,32
27/12/2021,560,24
28/12/2021,671,29
29/12/2021,702,37
30/12/2021,697,30
31/12/2021,557,27
1/1/2022,569,27
2/1/2022,384,52
3/1/2022,662,25
4/1/2022,664,21
5/1/2022,448,20
6/1/2022,442,18
7/1/2022,489,18
8/1/2022,436,11
9/1/2022,472,15
10/1/2022,437,17
11/1/2022,558,11
12/1/2022,696,14
13/1/2022,701,12
14/1/2022,402,13
15/1/2022,364,11
16/1/2022,289,9
17/1/2022,204,11
18/1/2022,226,11
