date,case_by_day,death_by_day
1/8/2021,81,0
2/8/2021,159,0
3/8/2021,98,2
4/8/2021,24,1
5/8/2021,69,1
6/8/2021,116,4
7/8/2021,10,0
8/8/2021,114,0
9/8/2021,78,1
10/8/2021,61,3
11/8/2021,40,0
12/8/2021,78,0
13/8/2021,97,0
14/8/2021,40,1
15/8/2021,39,0
16/8/2021,50,2
17/8/2021,61,0
18/8/2021,48,0
19/8/2021,53,0
20/8/2021,72,1
21/8/2021,76,0
22/8/2021,11,2
23/8/2021,41,0
24/8/2021,66,0
25/8/2021,96,1
26/8/2021,51,1
27/8/2021,77,0
28/8/2021,61,0
29/8/2021,133,0
30/8/2021,110,1
31/8/2021,77,0
1/9/2021,51,2
2/9/2021,48,1
3/9/2021,58,2
4/9/2021,52,1
5/9/2021,53,1
6/9/2021,33,1
7/9/2021,36,0
8/9/2021,35,0
9/9/2021,35,0
10/9/2021,29,0
11/9/2021,35,0
12/9/2021,20,0
13/9/2021,1,0
14/9/2021,21,0
15/9/2021,14,0
16/9/2021,15,1
17/9/2021,15,0
18/9/2021,19,1
19/9/2021,20,0
20/9/2021,9,0
21/9/2021,12,0
22/9/2021,7,0
23/9/2021,5,2
24/9/2021,5,0
25/9/2021,4,0
26/9/2021,2,0
27/9/2021,1,0
28/9/2021,6,0
29/9/2021,4,0
30/9/2021,1,0
1/10/2021,8,0
2/10/2021,14,0
3/10/2021,4,0
4/10/2021,8,0
5/10/2021,3,0
6/10/2021,9,0
7/10/2021,3,0
8/10/2021,5,0
9/10/2021,1,1
10/10/2021,1,0
11/10/2021,1,0
12/10/2021,4,1
13/10/2021,29,0
14/10/2021,1,0
15/10/2021,1,0
16/10/2021,23,0
17/10/2021,10,0
18/10/2021,6,0
19/10/2021,11,0
20/10/2021,10,0
21/10/2021,9,1
22/10/2021,8,0
23/10/2021,7,0
24/10/2021,14,0
25/10/2021,18,0
26/10/2021,18,0
27/10/2021,26,0
28/10/2021,31,0
29/10/2021,37,0
30/10/2021,56,0
31/10/2021,46,0
1/11/2021,57,0
2/11/2021,56,0
3/11/2021,76,0
4/11/2021,100,1
5/11/2021,91,0
6/11/2021,116,0
7/11/2021,72,0
8/11/2021,111,0
9/11/2021,268,1
10/11/2021,80,0
11/11/2021,154,0
12/11/2021,176,0
13/11/2021,152,0
14/11/2021,88,1
15/11/2021,239,0
16/11/2021,158,0
17/11/2021,218,1
18/11/2021,202,0
19/11/2021,287,0
20/11/2021,234,1
21/11/2021,216,0
22/11/2021,260,0
23/11/2021,260,0
24/11/2021,274,0
25/11/2021,264,0
26/11/2021,253,0
27/11/2021,310,0
28/11/2021,277,0
29/11/2021,429,0
30/11/2021,367,0
1/12/2021,467,1
2/12/2021,499,1
3/12/2021,791,2
4/12/2021,455,0
5/12/2021,400,0
6/12/2021,587,0
7/12/2021,737,0
8/12/2021,396,1
9/12/2021,822,1
10/12/2021,637,1
11/12/2021,548,0
12/12/2021,980,0
13/12/2021,1000,1
14/12/2021,837,6
15/12/2021,1024,1
16/12/2021,423,2
17/12/2021,535,4
18/12/2021,1244,0
19/12/2021,1405,3
20/12/2021,1612,0
21/12/2021,1704,8
22/12/2021,1646,5
23/12/2021,1774,5
24/12/2021,1834,5
25/12/2021,1879,5
26/12/2021,1910,3
27/12/2021,1948,0
28/12/2021,1920,11
29/12/2021,1766,11
30/12/2021,1866,13
31/12/2021,1914,7
1/1/2022,1748,0
2/1/2022,2045,8
3/1/2022,2100,0
4/1/2022,2499,10
5/1/2022,2505,12
6/1/2022,2716,0
7/1/2022,2723,0
8/1/2022,2791,13
9/1/2022,2811,0
10/1/2022,2830,17
11/1/2022,2884,9
12/1/2022,2948,13
13/1/2022,2968,13
14/1/2022,3029,0
15/1/2022,2810,18
16/1/2022,2982,0
17/1/2022,2955,14
18/1/2022,2935,12
