date,case_by_day,death_by_day
1/8/2021,4,0
2/8/2021,2,0
3/8/2021,0,0
4/8/2021,1,0
5/8/2021,2,0
6/8/2021,4,0
7/8/2021,12,0
8/8/2021,21,0
9/8/2021,30,0
10/8/2021,18,0
11/8/2021,0,0
12/8/2021,22,0
13/8/2021,2,0
14/8/2021,14,0
15/8/2021,11,0
16/8/2021,8,0
17/8/2021,3,0
18/8/2021,6,0
19/8/2021,0,0
20/8/2021,4,0
21/8/2021,10,0
22/8/2021,0,0
23/8/2021,1,0
24/8/2021,5,0
25/8/2021,0,0
26/8/2021,1,0
27/8/2021,0,0
28/8/2021,4,0
29/8/2021,6,0
30/8/2021,3,0
31/8/2021,4,0
1/9/2021,0,0
2/9/2021,0,0
3/9/2021,0,0
4/9/2021,5,0
5/9/2021,5,0
6/9/2021,0,0
7/9/2021,1,0
8/9/2021,0,0
9/9/2021,0,0
10/9/2021,5,0
11/9/2021,0,0
12/9/2021,2,0
13/9/2021,0,0
14/9/2021,1,0
15/9/2021,1,0
16/9/2021,1,0
17/9/2021,3,0
18/9/2021,1,0
19/9/2021,0,0
20/9/2021,1,0
21/9/2021,3,0
22/9/2021,3,0
23/9/2021,0,0
24/9/2021,0,0
25/9/2021,0,0
26/9/2021,2,0
27/9/2021,0,0
28/9/2021,0,0
29/9/2021,0,0
30/9/2021,5,0
1/10/2021,0,0
2/10/2021,0,0
3/10/2021,2,0
4/10/2021,0,0
5/10/2021,2,0
6/10/2021,0,0
7/10/2021,0,0
8/10/2021,29,0
9/10/2021,5,0
10/10/2021,0,0
11/10/2021,26,0
12/10/2021,7,0
13/10/2021,8,0
14/10/2021,28,0
15/10/2021,8,0
16/10/2021,11,0
17/10/2021,4,0
18/10/2021,0,1
19/10/2021,34,0
20/10/2021,0,0
21/10/2021,8,0
22/10/2021,13,0
23/10/2021,0,0
24/10/2021,8,0
25/10/2021,3,0
26/10/2021,6,0
27/10/2021,0,0
28/10/2021,20,0
29/10/2021,2,1
30/10/2021,7,0
31/10/2021,0,0
1/11/2021,25,0
2/11/2021,20,0
3/11/2021,18,0
4/11/2021,0,0
5/11/2021,30,0
6/11/2021,27,1
7/11/2021,20,0
8/11/2021,29,0
9/11/2021,20,1
10/11/2021,0,0
11/11/2021,54,0
12/11/2021,54,0
13/11/2021,61,0
14/11/2021,0,0
15/11/2021,68,0
16/11/2021,84,0
17/11/2021,0,0
18/11/2021,95,0
19/11/2021,80,1
20/11/2021,106,0
21/11/2021,85,0
22/11/2021,134,1
23/11/2021,65,1
24/11/2021,24,0
25/11/2021,235,0
26/11/2021,112,0
27/11/2021,159,0
28/11/2021,133,0
29/11/2021,174,0
30/11/2021,219,0
1/12/2021,222,0
2/12/2021,197,1
3/12/2021,98,1
4/12/2021,0,0
5/12/2021,84,0
6/12/2021,84,0
7/12/2021,100,2
8/12/2021,181,3
9/12/2021,210,2
10/12/2021,186,0
11/12/2021,198,0
12/12/2021,194,1
13/12/2021,165,0
14/12/2021,193,0
15/12/2021,257,0
16/12/2021,181,0
17/12/2021,255,0
18/12/2021,225,0
19/12/2021,245,0
20/12/2021,174,2
21/12/2021,254,2
22/12/2021,295,0
23/12/2021,251,2
24/12/2021,229,1
25/12/2021,221,0
26/12/2021,253,0
27/12/2021,263,0
28/12/2021,365,0
29/12/2021,347,0
30/12/2021,477,1
31/12/2021,259,1
1/1/2022,265,0
2/1/2022,240,0
3/1/2022,255,0
4/1/2022,202,2
5/1/2022,228,1
6/1/2022,230,0
7/1/2022,245,1
8/1/2022,236,0
9/1/2022,228,1
10/1/2022,227,0
11/1/2022,235,1
12/1/2022,248,0
13/1/2022,238,3
14/1/2022,0,1
15/1/2022,225,0
16/1/2022,235,3
17/1/2022,220,1
18/1/2022,240,3
