Ð?a phuong,2020 (*) Dân s? trung bình (Nghìn ngu?i),2020 (*) M?t ?? dân s? (Ngu?i/km2)
Lai Châu,469.8,52
Kon Tum,555.6,57
Ði?n Biên,613.5,64
B?c K?n,316.5,65
Cao B?ng,533.1,80
Son La,1270.6,90
L?ng Son,788.7,95
Ð?k Nông,637.9,98
Gia Lai,1541.8,99
Hà Giang,870.2,110
Qu?ng Bình,902,113
Lào Cai,746.4,117
Yên Bái,831.6,121
Lâm Ð?ng,1309.8,134
Tuyên Quang,792.9,135
Qu?ng Tr?,637.3,138
Qu?ng Nam,1505,142
Ð?k L?k,1886.9,145
Bình Phu?c,1011.1,147
Bình Thu?n,1239.3,156
Phú Yên,874.3,174
Ninh Thu?n,593.6,177
Hoà Bình,861.2,188
Ngh? An,3365.2,204
Hà Tinh,1296.6,216
Qu?ng Ninh,1337.6,217
Cà Mau,1193.9,229
Th?a Thiên Hu?,1133.7,231
Qu?ng Ngãi,1233.4,239
Khánh Hoà,1240.4,241
Bình Ð?nh,1487.9,245
Kiên Giang,1728.9,272
Tây Ninh,1178.3,292
Thanh Hoá,3664.9,330
B?c Liêu,913.5,342
Sóc Trang,1195.7,361
Thái Nguyên,1307.9,371
Long An,1713.7,381
Phú Th?,1481.9,419
Trà Vinh,1009.9,428
H?u Giang,729.8,450
B?c Giang,1841.6,473
Ð?ng Tháp,1600,473
An Giang,1904.5,539
B?n Tre,1292.4,540
Ð?ng Nai,3177.4,542
Bà R?a - Vtng Tàu,1167.9,590
Vinh Long,1023,670
Ti?n Giang,1772.5,706
Ninh Bình,993.9,717
C?n Tho,1240.7,862
Ðà N?ng,1169.5,910
Vinh Phúc,1171.2,948
Bình Duong,2580.6,958
Hà Nam,861.8,1000
Nam Ð?nh,1780.3,1067
H?i Duong,1916.8,1149
Thái Bình,1870.3,1179
H?i Phòng,2053.5,1315
Hung Yên,1269.1,1364
B?c Ninh,1419.1,1725
Hà N?i,8246.6,2455
TP.H? Chí Minh,9227.6,4476
